episode,reward,loss,portfolio_return,market_return,excess_return,steps,policy_loss,value_loss,entropy
1,-2.4836881431369826,0.0,-0.9166,0.7951,-1.7117,8759,0.0,1.1839140381829502e-07,0.00023523880626204072
2,-2.2809028232867865,0.0,-0.8978,0.7951,-1.6929,8759,0.0,8.843492285968883e-08,0.00023387705885871633
3,-0.9822888721315028,0.0,-0.6255,0.7951,-1.4205999999999999,8759,0.0,8.933460127639798e-08,0.00023409868478334935
4,-3.2756384719099403,0.0,-0.9621999999999999,0.7951,-1.7572999999999999,8759,0.0,8.912129555355375e-08,0.00023450692402056863
5,-0.7911720909694373,0.0,-0.5467,0.7951,-1.3418,8759,0.0,6.844782550468507e-08,0.00023434870716040082
6,-1.140134587281597,0.0,-0.6801999999999999,0.7951,-1.4752999999999998,8759,0.0,6.549323386610846e-08,0.00023298866482176578
7,-3.2510194901485567,0.0,-0.9612999999999999,0.7951,-1.7564,8759,0.0,7.002259787231321e-08,0.00023111267806412994
8,-1.9231481551596918,0.0,-0.8539,0.7951,-1.649,8759,0.0,7.381708593027516e-08,0.00022997108676374648
9,-2.007492870759789,0.0,-0.8656999999999999,0.7951,-1.6608,8759,0.0,7.655158724986692e-08,0.00022844100039542302
10,-1.3495923508172833,0.0,-0.7406999999999999,0.7951,-1.5358,8759,0.0,7.634015252358588e-08,0.00022618624665755922
11,-1.2643492570974193,0.0,-0.7176,0.7951,-1.5127000000000002,8759,0.0,6.917318556609313e-08,0.000223876430411881
12,-2.0915084818282907,0.0,-0.8765000000000001,0.7951,-1.6716000000000002,8759,0.0,6.56949572645012e-08,0.0002218844660004687
13,-1.1551968164375601,0.0,-0.685,0.7951,-1.4801000000000002,8759,0.0,6.827097716909901e-08,0.0002205225049859724
14,-1.0957846417428299,0.0,-0.6657,0.7951,-1.4607999999999999,8759,0.0,5.909750513690839e-08,0.0002214642619050488
15,-0.7674214399785478,0.0,-0.5357999999999999,0.7951,-1.3309,8759,0.0,5.1375093592557974e-08,0.0002175208632253913
16,-1.1383706856869817,0.0,-0.6797,0.7951,-1.4748,8759,0.0,5.8240984825776715e-08,0.00021588013071561422
17,-2.2791596374684824,0.0,-0.8976000000000001,0.7951,-1.6927,8759,0.0,6.122035417043628e-08,0.00021239730663117517
18,0.02231783172845065,0.0,0.0226,0.7951,-0.7725000000000001,8759,0.0,4.9986524100704756e-08,0.00021338402312633383
19,0.08087886068685479,0.0,0.0842,0.7951,-0.7109000000000001,8759,0.0,5.670503637201997e-08,0.00021143015623389683
20,-0.41382242308398426,0.0,-0.3389,0.7951,-1.134,8759,0.0,7.040873041258719e-08,0.00020926968188907406
21,-0.9355945590720631,0.0,-0.6076,0.7951,-1.4027,8759,0.0,4.8342586652184153e-08,0.00020781353131197607
22,-1.6307900645277429,0.0,-0.8042,0.7951,-1.5993,8759,0.0,5.130587434745705e-08,0.00021198760832608746
23,-0.9897571235557924,0.0,-0.6283,0.7951,-1.4234,8759,0.0,5.0305836015982064e-08,0.00021183342184008468
24,-1.6976154435862671,0.0,-0.8169,0.7951,-1.612,8759,0.0,5.713932160606772e-08,0.00021205563698981398
25,-1.1989103652070616,0.0,-0.6984999999999999,0.7951,-1.4935999999999998,8759,0.0,6.505331870127652e-08,0.0002108534399456286
26,-0.6124739081302059,0.0,-0.45799999999999996,0.7951,-1.2530999999999999,8759,0.0,7.059854535529808e-08,0.0002143921325531096
27,-0.44060034949503174,0.0,-0.3564,0.7951,-1.1515,8759,0.0,5.8845933740790854e-08,0.00021672323493723676
28,-0.8131963560202099,0.0,-0.5566,0.7951,-1.3517000000000001,8759,0.0,6.996257465235565e-08,0.0002167791591914111
29,-1.4930966216171653,0.0,-0.7753,0.7951,-1.5704,8759,0.0,6.277419525173724e-08,0.00021701665376125216
30,-0.6940179011813868,0.0,-0.5004,0.7951,-1.2955,8759,0.0,6.731709775131044e-08,0.00021476199415039002
31,-1.3680329230130284,0.0,-0.7454000000000001,0.7951,-1.5405000000000002,8759,0.0,6.240801643175129e-08,0.00021134372258721935
32,-1.16473639496522,0.0,-0.688,0.7951,-1.4830999999999999,8759,0.0,7.354150948811799e-08,0.00020887149409934563
33,-1.9525003782700645,0.0,-0.8581,0.7951,-1.6532,8759,0.0,8.105742145503118e-08,0.00020999223999420145
34,-0.9321718095406561,0.0,-0.6063000000000001,0.7951,-1.4014000000000002,8759,0.0,6.79364741700102e-08,0.00020976934484518304
35,-0.3077630587626495,0.0,-0.26489999999999997,0.7951,-1.06,8759,0.0,7.667894790734871e-08,0.00020712637847005553
36,-2.119094572444577,0.0,-0.8798999999999999,0.7951,-1.6749999999999998,8759,0.0,8.497556495783534e-08,0.00020680827952136566
37,-2.1802538590981095,0.0,-0.887,0.7951,-1.6821000000000002,8759,0.0,9.21172174966916e-08,0.0002091063912109817
38,-0.9446438377641884,0.0,-0.6112,0.7951,-1.4062999999999999,8759,0.0,6.67184691651943e-08,0.00020913447776452755
39,-0.3301528663793117,0.0,-0.2812,0.7951,-1.0763,8759,0.0,7.132863264302063e-08,0.00020735435625364373
40,-1.6015220089461075,0.0,-0.7984,0.7951,-1.5935000000000001,8759,0.0,8.011277976937218e-08,0.00020921927608493794
41,-0.4546653594582637,0.0,-0.3653,0.7951,-1.1604,8759,0.0,6.854227295923004e-08,0.00020599810502280595
42,-0.22804588648900082,0.0,-0.2039,0.7951,-0.999,8759,0.0,7.52209734246919e-08,0.00019916774077532304
43,-1.1971096736041078,0.0,-0.6979000000000001,0.7951,-1.493,8759,0.0,9.789346920655778e-08,0.00019820436971375782
44,-1.4077713398235416,0.0,-0.7553,0.7951,-1.5504,8759,0.0,9.721687809701055e-08,0.00020236233802155352
45,-1.4130707262362092,0.0,-0.7565999999999999,0.7951,-1.5516999999999999,8759,0.0,9.365938205887203e-08,0.0002047538989239243
46,-1.2785688006862774,0.0,-0.7216,0.7951,-1.5167000000000002,8759,0.0,8.756427313598301e-08,0.00020305132020560847
47,-0.6563154518900944,0.0,-0.48119999999999996,0.7951,-1.2763,8759,0.0,8.991325682731662e-08,0.000198473117627114
48,0.043425804159797715,0.0,0.0444,0.7951,-0.7507,8759,0.0,8.122057690833596e-08,0.00019883989218160257
49,-0.6529578922543962,0.0,-0.47950000000000004,0.7951,-1.2746,8759,0.0,8.499860069313301e-08,0.0002016389979917505
50,-0.7649095679152988,0.0,-0.5346,0.7951,-1.3296999999999999,8759,0.0,7.382524812117667e-08,0.00019963895875021122
51,-0.35849519146030734,0.0,-0.3013,0.7951,-1.0964,8759,0.0,7.589467336726974e-08,0.0001995291356115495
52,-0.4906798923847996,0.0,-0.38780000000000003,0.7951,-1.1829,8759,0.0,6.381523149913093e-08,0.00020454400594246768
53,-0.32050186969686756,0.0,-0.2742,0.7951,-1.0693000000000001,8759,0.0,6.470029661188131e-08,0.0002039100441698504
54,-2.173211666979241,0.0,-0.8862000000000001,0.7951,-1.6813000000000002,8759,0.0,6.888208028538713e-08,0.00020041098593437653
55,-0.41686643855322475,0.0,-0.34090000000000004,0.7951,-1.1360000000000001,8759,0.0,6.6849273085004e-08,0.0002019147013938179
56,-0.3404227753049735,0.0,-0.28850000000000003,0.7951,-1.0836000000000001,8759,0.0,6.878008042536536e-08,0.00019982651760454091
57,-1.5564574569533225,0.0,-0.7890999999999999,0.7951,-1.5842,8759,0.0,7.142776203949738e-08,0.00019668503918079372
58,-1.2834952462794889,0.0,-0.7229000000000001,0.7951,-1.5180000000000002,8759,0.0,6.68990516266661e-08,0.00019407257189138686
59,-0.016460778021607673,0.0,-0.0163,0.7951,-0.8114,8759,0.0,7.161561665987332e-08,0.00019552923107715695
60,1.186700945175844,0.0,2.2763,0.7951,1.4811999999999999,8759,0.0,7.794937720230063e-08,0.00019536471195476807
61,-1.7436116216748987,0.0,-0.8251000000000001,0.7951,-1.6202,8759,0.0,7.915524826631384e-08,0.00019116288952919394
62,-1.7302894805707365,0.0,-0.8228,0.7951,-1.6179000000000001,8759,0.0,6.734781730986775e-08,0.0001902530297922583
63,-0.7642003179417037,0.0,-0.5343,0.7951,-1.3294000000000001,8759,0.0,6.690072738833078e-08,0.00019063239590699505
64,0.22326594314450615,0.0,0.2502,0.7951,-0.5449,8759,0.0,6.342245516358581e-08,0.00018937803534246873
65,0.6221627820542877,0.0,0.863,0.7951,0.06789999999999996,8759,0.0,5.811540126123151e-08,0.00018727710094562994
66,0.16343929246133654,0.0,0.1776,0.7951,-0.6175,8759,0.0,6.663494975050157e-08,0.00018232985656885194
67,-0.742984112679784,0.0,-0.5243,0.7951,-1.3194,8759,0.0,7.269706321155598e-08,0.00017792006748705357
68,-0.3528806166478765,0.0,-0.2973,0.7951,-1.0924,8759,0.0,6.41491579219487e-08,0.00017664293345327376
69,0.8853525344984033,0.0,1.4238,0.7951,0.6286999999999999,8759,7.632502293158227e-09,6.842989157336966e-08,0.0001773163687375842
70,0.25340212317537825,0.0,0.2884,0.7951,-0.5067,8759,0.0,7.6709174573428e-08,0.00018480365099226906
71,0.05770358305695554,0.0,0.0594,0.7951,-0.7357,8759,0.0,7.456198908445443e-08,0.00018949380924481463
72,0.6225719544851406,0.0,0.8637,0.7951,0.0686,8759,0.0,6.721672763186947e-08,0.00018933123472667483
73,0.06987786293796978,0.0,0.0724,0.7951,-0.7227,8759,0.0,7.378562773332165e-08,0.00018928449841030238
74,-0.6499511168741468,0.0,-0.4779,0.7951,-1.2730000000000001,8759,0.0,9.64558636010536e-08,0.00018474255327966078
75,-0.4009184376113045,0.0,-0.33030000000000004,0.7951,-1.1254,8759,0.0,7.498382102533235e-08,0.00017949692201101494
76,-0.3704528617567668,0.0,-0.3096,0.7951,-1.1047,8759,0.0,9.53278126255201e-08,0.00017634350845730488
77,0.44930894798089005,0.0,0.5672,0.7951,-0.2279,8759,0.0,1.0935388652932358e-07,0.00017589665745475235
78,0.1820797108943185,0.0,0.1997,0.7951,-0.5954,8759,0.0,9.653731832438417e-08,0.000180370114090154
79,-0.3955431572714873,0.0,-0.3267,0.7951,-1.1218,8759,0.0,8.986711639179268e-08,0.00018578753014196435
80,-0.3922271629643158,0.0,-0.32439999999999997,0.7951,-1.1195,8759,0.0,8.738789074113351e-08,0.0001889252634783191
81,0.42375999498443506,0.0,0.5277000000000001,0.7951,-0.26739999999999997,8759,0.0,1.0082096264868054e-07,0.00018338536847784862
82,-0.48457616302192374,0.0,-0.384,0.7951,-1.1791,8759,0.0,1.1194616235405667e-07,0.00018492181947063615
83,0.7461038807535975,0.0,1.1088,0.7951,0.3137,8759,0.0,1.0016511928076616e-07,0.0001863545730305569
84,-0.6939716468799377,0.0,-0.5004,0.7951,-1.2955,8759,0.0,1.1257929837954592e-07,0.00018872845814863
85,-0.8973923564831695,0.0,-0.5924,0.7951,-1.3875000000000002,8759,0.0,7.868351727705032e-08,0.00019447305558521625
86,0.18499020286915402,0.0,0.2032,0.7951,-0.5919000000000001,8759,0.0,6.603281587970353e-08,0.0001937973069870349
87,-0.07352917766556794,0.0,-0.0709,0.7951,-0.866,8759,0.0,8.653176008730542e-08,0.00019628329793532057
88,-0.7388452193598575,0.0,-0.5223,0.7951,-1.3174000000000001,8759,0.0,7.487392093078412e-08,0.00019579153101770662
89,-0.22929209413048937,0.0,-0.20489999999999997,0.7951,-1.0,8759,0.0,6.860975207984608e-08,0.00019051923371850036
90,-0.9900922032962095,0.0,-0.6285000000000001,0.7951,-1.4236,8759,0.0,5.86670488418806e-08,0.00018748634291096655
91,-0.7188393714610155,0.0,-0.5127,0.7951,-1.3078,8759,0.0,5.661313433816708e-08,0.0001883970324308185
92,-0.6678906089910398,0.0,-0.48719999999999997,0.7951,-1.2823,8759,0.0,6.515642640520413e-08,0.00019213852988399577
93,-0.5762210948965052,0.0,-0.43799999999999994,0.7951,-1.2330999999999999,8759,0.0,6.626560130567189e-08,0.00019591400112488582
94,-0.4388952053378443,0.0,-0.3553,0.7951,-1.1504,8759,0.0,6.304941284161277e-08,0.0002009822888521169
95,0.13758415492867676,0.0,0.1475,0.7951,-0.6476000000000001,8759,0.0,6.883553755040414e-08,0.000203963010427117
96,-2.1235271019412947,0.0,-0.8804000000000001,0.7951,-1.6755,8759,0.0,6.052248896599404e-08,0.00020662635033098277
97,0.29458821881324504,0.0,0.34259999999999996,0.7951,-0.45250000000000007,8759,0.0,5.6348647597803945e-08,0.00020900298413135412
98,-2.125776361216659,0.0,-0.8806999999999999,0.7951,-1.6758,8759,0.0,5.9264012601644926e-08,0.00020943595882701028
99,-1.394468688746856,0.0,-0.752,0.7951,-1.5471,8759,0.0,5.325142913808279e-08,0.00020873973258916955
100,-1.5071503886117916,0.0,-0.7785,0.7951,-1.5735999999999999,8759,0.0,6.716472826367782e-08,0.00021224649299628485
101,-1.3935560746343576,0.0,-0.7518,0.7951,-1.5469,8759,0.0,5.9270961982370044e-08,0.0002143843952887364
102,-0.3820452681247021,0.0,-0.3175,0.7951,-1.1126,8759,0.0,5.591545857506003e-08,0.00021353601223114216
103,-1.8337289516715172,0.0,-0.8402,0.7951,-1.6353,8759,0.0,6.140966457897204e-08,0.00020917407528047382
104,-1.8989211324037154,0.0,-0.8503000000000001,0.7951,-1.6454,8759,0.0,6.584437584870616e-08,0.00020727063040983313
105,-1.0726286687306235,0.0,-0.6579,0.7951,-1.453,8759,0.0,6.412457499297877e-08,0.0002047668768519205
106,-1.2077448973001939,0.0,-0.7011,0.7951,-1.4962,8759,0.0,6.297214088303853e-08,0.0002066132366763206
107,-1.631172215815709,0.0,-0.8043,0.7951,-1.5994000000000002,8759,0.0,6.276426068824351e-08,0.0002045981439691448
108,0.23677372512409048,0.0,0.2672,0.7951,-0.5279,8759,0.0,5.314237191756355e-08,0.0002071403105825911
109,-0.8764766222088946,0.0,-0.5838,0.7951,-1.3789,8759,0.0,5.666121232801938e-08,0.0002031915995885455
110,-1.4990763341749949,0.0,-0.7767000000000001,0.7951,-1.5718,8759,0.0,5.786222164348268e-08,0.00019620843125536775
111,0.1120724332576893,0.0,0.1186,0.7951,-0.6765,8759,0.0,4.448229034515172e-08,0.00018959608098888695
112,-0.4257581762092252,0.0,-0.3467,0.7951,-1.1418,8759,0.0,5.24094267053739e-08,0.00018761477314485885
113,0.09489118765214194,0.0,0.09949999999999999,0.7951,-0.6956,8759,0.0,5.5276429716523625e-08,0.0001869257877818445
114,-0.49702278483079854,0.0,-0.3917,0.7951,-1.1868,8759,0.0,5.663182023216481e-08,0.00018697674118657687
115,-0.6419128165315885,0.0,-0.47369999999999995,0.7951,-1.2688,8759,0.0,5.34632011825375e-08,0.00018471507889932453
116,-0.9140518219517806,0.0,-0.5991,0.7951,-1.3942,8759,0.0,4.606965935950379e-08,0.00018661698882927618
117,-0.5614023226359859,0.0,-0.4296,0.7951,-1.2247,8759,0.0,4.7056120776978174e-08,0.00018907072203188277
118,0.2636857039283623,0.0,0.3017,0.7951,-0.4934,8759,0.0,4.447642341791233e-08,0.00018835347872470557
119,-0.9464121011129961,0.0,-0.6119,0.7951,-1.407,8759,0.0,5.494472891940377e-08,0.0001900055353088389
120,0.06474212787220258,0.0,0.0669,0.7951,-0.7282000000000001,8759,0.0,5.4132641658552586e-08,0.00018940448254637697
121,-0.9309356494531373,0.0,-0.6058,0.7951,-1.4009,8759,0.0,6.548928014567935e-08,0.00018868734744799823
122,-0.2532131309842752,0.0,-0.2237,0.7951,-1.0188000000000001,8759,0.0,5.7583654109789284e-08,0.00018800943690905282
