episode,reward,loss,portfolio_return,market_return,excess_return,steps,q_value,epsilon
1,-1.8416366177574088,0.00020610888155531452,-0.8414,0.7951,-1.6365,8759,0.10496414287218031,0.995
2,-2.514547039789096,0.00010445732638922323,-0.9190999999999999,0.7951,-1.7142,8759,0.09901789656028667,0.990025
3,-2.0261337037739366,9.725168488292482e-05,-0.8682,0.7951,-1.6633,8759,0.06707302129715052,0.985074875
4,-2.157140171358224,9.253195974263805e-05,-0.8843000000000001,0.7951,-1.6794000000000002,8759,0.04305667302420571,0.9801495006250001
5,-3.2537531643831854,9.292280403650686e-05,-0.9614,0.7951,-1.7565,8759,0.028909703462300325,0.9752487531218751
6,-0.854390276691582,9.207065477244933e-05,-0.5745,0.7951,-1.3696000000000002,8759,0.03326766253370872,0.9703725093562657
7,-2.273499487289547,8.982057756376326e-05,-0.897,0.7951,-1.6921,8759,0.021056303251626142,0.9655206468094844
8,-1.0644369893046788,9.06421996997302e-05,-0.6551,0.7951,-1.4502000000000002,8759,0.012738875396843591,0.960693043575437
9,-1.4838471899194599,8.962191840021928e-05,-0.7731999999999999,0.7951,-1.5682999999999998,8759,0.012521098029535748,0.9558895783575597
10,-1.8903952805192652,8.91955293416778e-05,-0.8490000000000001,0.7951,-1.6441000000000001,8759,0.006396236108931362,0.9511101304657719
11,-2.417823680281929,8.96390252971624e-05,-0.9109,0.7951,-1.706,8759,0.005940454425733613,0.946354579813443
12,-2.3334331936590726,8.745918537912891e-05,-0.903,0.7951,-1.6981000000000002,8759,-0.0019200436179947738,0.9416228069143757
13,-2.6548623000319727,8.833602949699898e-05,-0.9297,0.7951,-1.7248,8759,-0.00832050516386955,0.9369146928798039
14,-2.0598628811871986,8.875818032310579e-05,-0.8725,0.7951,-1.6676000000000002,8759,-0.007219647256027384,0.9322301194154049
15,-0.7149903796987007,8.933566838122012e-05,-0.5108,0.7951,-1.3059,8759,-0.007127412327760151,0.9275689688183278
16,-1.1764551751338175,8.944980423104541e-05,-0.6916,0.7951,-1.4867,8759,-0.00499438632106108,0.9229311239742362
17,-2.3708916446169765,8.91475939732942e-05,-0.9066,0.7951,-1.7017,8759,0.0013059618846577234,0.918316468354365
18,-2.042977606626102,8.821797749838928e-05,-0.8704000000000001,0.7951,-1.6655000000000002,8759,-0.00501189432989962,0.9137248860125932
19,-0.5806715060385635,8.847963790256912e-05,-0.44049999999999995,0.7951,-1.2356,8759,-0.00397386629193322,0.9091562615825302
20,-3.2861898448962954,8.912504105187763e-05,-0.9626,0.7951,-1.7577,8759,-0.0023944324767318052,0.9046104802746175
21,-3.418110348109504,8.835183612657121e-05,-0.9672,0.7951,-1.7623,8759,-0.0006842776842288591,0.9000874278732445
22,-2.287777050832174,8.774721018197722e-05,-0.8985,0.7951,-1.6936,8759,-0.008222776629712901,0.8955869907338783
23,-0.6727564825542606,8.689903418783088e-05,-0.48969999999999997,0.7951,-1.2848,8759,-0.014514804991049974,0.8911090557802088
24,-2.513310928624356,8.712453606980644e-05,-0.919,0.7951,-1.7141000000000002,8759,-0.009693916783588248,0.8866535105013078
25,-2.1448146762702374,8.780289135694601e-05,-0.8829,0.7951,-1.678,8759,0.0007268737736616876,0.8822202429488013
26,-1.6353476826640407,8.8575166203315e-05,-0.8051,0.7951,-1.6002,8759,-0.0008788311298762654,0.8778091417340573
27,-2.628260559447709,8.858321473758428e-05,-0.9278,0.7951,-1.7229,8759,-0.006136027330096515,0.8734200960253871
28,-3.037739536989101,8.904599645408146e-05,-0.9521,0.7951,-1.7471999999999999,8759,-0.009908176076149019,0.8690529955452602
29,-1.398875195548233,8.87263455403751e-05,-0.7531,0.7951,-1.5482,8759,-0.00720549767667017,0.8647077305675338
30,-2.8327902104635228,8.678634682238141e-05,-0.9412,0.7951,-1.7363,8759,-0.012855507659785707,0.8603841919146962
31,-2.993162050208646,8.730426647595357e-05,-0.9499,0.7951,-1.745,8759,-0.020062242198864346,0.8560822709551227
32,-2.1007178649377014,8.86543536545998e-05,-0.8776,0.7951,-1.6727,8759,-0.021248632101404815,0.851801859600347
33,-2.6349996224063132,8.860733434726411e-05,-0.9283,0.7951,-1.7234,8759,-0.020500034132347366,0.8475428503023453
