episode,reward,loss,portfolio_return,market_return,excess_return,steps,policy_loss,value_loss,entropy
1,-0.6503597848668433,0.0,-0.4781,0.7951,-1.2732,8759,0.0,3.1893803092714295e-08,0.00018192919092926678
2,-1.2996222859666622,0.0,-0.7273999999999999,0.7951,-1.5225,8759,0.0,3.232543440181489e-08,0.0001801158694837692
3,-0.9804710043838498,0.0,-0.6249,0.7951,-1.42,8759,0.0,2.3143089051415207e-08,0.00017796067027441064
4,-0.09512311097218173,0.0,-0.0907,0.7951,-0.8858,8759,0.0,2.0706232279609518e-08,0.0001766477639566243
5,-0.7978577506759517,0.0,-0.5497,0.7951,-1.3448,8759,0.0,2.520604037400076e-08,0.0001781265465144458
6,-0.9205075162483206,0.0,-0.6017,0.7951,-1.3968,8759,0.0,2.3923138664997847e-08,0.0001782797438970268
7,-0.8522079403612279,0.0,-0.5735,0.7951,-1.3686,8759,0.0,2.535537539113282e-08,0.00017468466658296752
8,-0.6216741740535543,0.0,-0.46299999999999997,0.7951,-1.2581,8759,0.0,2.5605290191942212e-08,0.0001674578447937648
9,-1.1550911801223238,0.0,-0.685,0.7951,-1.4801000000000002,8759,0.0,2.6909521774424555e-08,0.0001649853750526736
10,0.09685794700437947,0.0,0.1017,0.7951,-0.6934,8759,0.0,2.021961825372231e-08,0.0001672467210086277
