episode,reward,loss,portfolio_return,market_return,excess_return,steps,policy_loss,value_loss,entropy
1,-1.502357820479545,0.0,-0.7774,0.7951,-1.5725,8759,0.0,4.481904151663153e-08,0.0001824815212459497
2,-0.9514478178509815,0.0,-0.6138,0.7951,-1.4089,8759,0.0,3.0868832131149926e-08,0.00018084694029584848
3,0.030933328811503964,0.0,0.031400000000000004,0.7951,-0.7637,8759,0.0,2.583548906625374e-08,0.00018178210074994348
4,-0.7600927273498654,0.0,-0.5324,0.7951,-1.3275000000000001,8759,0.0,2.8542872565249645e-08,0.0001829243286866227
5,-1.0869365692413837,0.0,-0.6628000000000001,0.7951,-1.4579,8759,0.0,2.643824262095075e-08,0.0001829078073364725
6,-1.6597807264913667,0.0,-0.8098000000000001,0.7951,-1.6049000000000002,8759,0.0,2.8075467603345752e-08,0.0001813853067104016
7,-1.149395336137725,0.0,-0.6831999999999999,0.7951,-1.4783,8759,0.0,3.972540993599404e-08,0.0001795655292701921
8,-1.3975231357218083,0.0,-0.7528,0.7951,-1.5479,8759,0.0,3.516245069014509e-08,0.00017672548663359152
9,-0.6662735057596155,0.0,-0.4864,0.7951,-1.2815,8759,0.0,3.922040745237509e-08,0.00017487634300932583
10,-0.48127823901091243,0.0,-0.382,0.7951,-1.1771,8759,0.0,3.763476200643814e-08,0.00017170489216402618
