episode,reward,loss,portfolio_return,market_return,excess_return,steps,q_value,epsilon
1,-0.5257138575105702,9.416368045539857e-05,-0.4089,0.7951,-1.204,8759,0.08427710982267324,0.995
2,0.3007302915093515,3.682402895017102e-05,0.3508,0.7951,-0.44430000000000003,8759,0.05372697088702831,0.990025
3,-0.5537544985119028,3.248986188515139e-05,-0.4252,0.7951,-1.2203,8759,0.04402132020870468,0.985074875
4,-0.8986679635577803,3.116419514352463e-05,-0.5929,0.7951,-1.388,8759,0.03135386990339248,0.9801495006250001
5,-0.5964057096705071,3.067544793881994e-05,-0.44920000000000004,0.7951,-1.2443,8759,0.023904831230768853,0.9752487531218751
6,-0.7723508176498549,3.047949286417696e-05,-0.5381,0.7951,-1.3332000000000002,8759,0.015039735660084525,0.9703725093562657
7,-0.24600484474567802,3.057612661855974e-05,-0.2181,0.7951,-1.0132,8759,0.012377360722857948,0.9655206468094844
8,-0.5148978751603179,3.0416708549942577e-05,-0.40240000000000004,0.7951,-1.1975,8759,0.007465464283352503,0.960693043575437
9,-0.14419595085302772,3.065611926588691e-05,-0.1343,0.7951,-0.9294,8759,0.007360851556824641,0.9558895783575597
10,-1.090825928740643,3.063535419268809e-05,-0.6640999999999999,0.7951,-1.4592,8759,0.005117896240821698,0.9511101304657719
