date_open,open,high,low,close,volume,date_close,momentum,intraday_vol,ma,macd,rsi
2020-09-30 23:00:00,10745.85,10785.0,10735.51,10776.59,1235.545956,2020-10-01 00:00:00,0.0,49.48999999999978,,0.0,
2020-10-01 00:00:00,10776.59,10826.19,10776.59,10788.06,2128.759531,2020-10-01 01:00:00,11.469999999999345,49.600000000000364,,0.9149857549873559,
2020-10-01 01:00:00,10788.3,10849.97,10786.74,10838.88,1604.12956,2020-10-01 02:00:00,50.81999999999971,63.22999999999956,,5.675444842168872,
2020-10-01 02:00:00,10838.89,10857.47,10807.39,10817.14,1268.291734,2020-10-01 03:00:00,-21.73999999999978,50.07999999999993,,7.606226806859922,
2020-10-01 03:00:00,10817.14,10824.22,10789.01,10798.18,939.599057,2020-10-01 04:00:00,-18.959999999999127,35.20999999999913,,7.519788439518379,
2020-10-01 04:00:00,10798.38,10826.42,10795.78,10800.01,1082.441958,2020-10-01 05:00:00,1.8299999999999272,30.639999999999418,,7.512353383173831,
2020-10-01 05:00:00,10800.0,10826.0,10790.85,10821.07,1264.550975,2020-10-01 06:00:00,21.05999999999949,35.149999999999636,,9.100917331812525,
2020-10-01 06:00:00,10821.07,10844.71,10811.72,10821.29,1746.032168,2020-10-01 07:00:00,0.22000000000116415,32.98999999999978,,10.259354415995404,
2020-10-01 07:00:00,10821.29,10839.92,10799.7,10824.75,1169.162524,2020-10-01 08:00:00,3.459999999999127,40.219999999999345,,11.326057494303313,
2020-10-01 08:00:00,10824.75,10920.0,10811.52,10872.35,5197.35309,2020-10-01 09:00:00,47.600000000000364,108.47999999999956,,15.829872641192196,
2020-10-01 09:00:00,10872.36,10903.01,10872.16,10896.77,1879.743386,2020-10-01 10:00:00,24.420000000000073,30.850000000000364,,21.126139521047662,
2020-10-01 10:00:00,10896.78,10912.83,10842.16,10865.97,1854.848552,2020-10-01 11:00:00,-30.80000000000109,70.67000000000007,,22.577902580524096,
2020-10-01 11:00:00,10865.97,10904.33,10853.02,10903.16,1795.235435,2020-10-01 12:00:00,37.19000000000051,51.30999999999949,,26.42474939258682,
