episode,reward,loss,portfolio_return,market_return,excess_return,steps,q_value,epsilon
1,-0.5787141907542536,0.0002827473286405682,-0.43939999999999996,0.7951,-1.2345,8759,0.03284953464793799,0.995
2,0.19732519190975256,4.3470899932694224e-05,0.2181,0.7951,-0.5770000000000001,8759,0.031053371456012474,0.990025
3,-1.081129825917351,3.7307478982153305e-05,-0.6607999999999999,0.7951,-1.4559,8759,0.020490914951205655,0.985074875
4,-0.7413815097680524,3.471321085139301e-05,-0.5235,0.7951,-1.3186,8759,0.011625958065074802,0.9801495006250001
5,-1.151691363785142,3.271236417608734e-05,-0.6839,0.7951,-1.479,8759,0.011693187276581295,0.9752487531218751
6,-0.9303017233079272,3.2393618923062615e-05,-0.6056,0.7951,-1.4007,8759,0.011263484023626244,0.9703725093562657
7,-0.26655331058927284,3.2301324120825544e-05,-0.23399999999999999,0.7951,-1.0291000000000001,8759,0.0019491705972242402,0.9655206468094844
8,-0.5517989990107753,3.2229668389598e-05,-0.4241,0.7951,-1.2192,8759,0.0023198038584593427,0.960693043575437
9,-1.051070254763982,3.181556252390007e-05,-0.6504000000000001,0.7951,-1.4455,8759,0.002415114052305348,0.9558895783575597
10,-1.0052856099422578,3.2119061057689126e-05,-0.6341,0.7951,-1.4292,8759,0.0027495080298713414,0.9511101304657719
11,-1.251828422922622,3.2119172796366146e-05,-0.7140000000000001,0.7951,-1.5091,8759,0.0022256162020986327,0.946354579813443
12,-1.1231021547551592,3.152341487378743e-05,-0.6747,0.7951,-1.4698,8759,0.002736644359193432,0.9416228069143757
13,-1.3823181343128952,3.1694546226985516e-05,-0.7490000000000001,0.7951,-1.5441000000000003,8759,0.0034601939904838138,0.9369146928798039
14,-1.3341335808625578,3.146711357658932e-05,-0.7365999999999999,0.7951,-1.5316999999999998,8759,-0.009357628042312372,0.9322301194154049
15,-1.4484977137009827,3.1331215946846426e-05,-0.7651,0.7951,-1.5602,8759,-0.005371734211571155,0.9275689688183278
16,-1.1388244140162873,3.213227551116944e-05,-0.6798000000000001,0.7951,-1.4749,8759,-0.003632221218461805,0.9229311239742362
17,-0.8804965445165439,3.173289473154385e-05,-0.5854,0.7951,-1.3805,8759,-0.002695519785585061,0.918316468354365
18,-0.7758151213467631,3.213287249802994e-05,-0.5397,0.7951,-1.3348,8759,-0.0027420930913157737,0.9137248860125932
