episode,reward,loss,portfolio_return,market_return,excess_return,steps,policy_loss,value_loss,entropy
41,-0.48955288149105475,0.0,-0.3871,0.7951,-1.1822,8759,0.0,5.338026769082212e-08,0.00015105030119220463
42,-0.5593914743421179,0.0,-0.42840000000000006,0.7951,-1.2235,8759,7.139278754372506e-09,4.915742383953992e-08,0.0001508087663636215
43,-0.26236414196111024,0.0,-0.23079999999999998,0.7951,-1.0259,8759,0.0,5.640163327240266e-08,0.00014923397990177875
44,-1.1137644825570179,0.0,-0.6717,0.7951,-1.4668,8759,0.0,4.807292520171062e-08,0.00014720019339822124
45,0.09299673070253422,0.0,0.0975,0.7951,-0.6976,8759,0.0,5.10146220781983e-08,0.0001512386673532141
46,0.013756878731950984,0.0,0.0139,0.7951,-0.7812,8759,0.0,4.6529195971185516e-08,0.00015163575363350235
47,-0.14240048687302018,0.0,-0.13269999999999998,0.7951,-0.9278,8759,0.0,4.934985900387852e-08,0.0001483119438561696
48,-0.2714299743054418,0.0,-0.2377,0.7951,-1.0328,8759,0.0,3.892599432744158e-08,0.00015365829106627754
49,-0.34182634096400366,0.0,-0.2895,0.7951,-1.0846,8759,0.0,4.233326892416411e-08,0.0001495211005862861
50,-0.04673655456592711,0.0,-0.045700000000000005,0.7951,-0.8408,8759,0.0,4.437969456363254e-08,0.00014435041425463327
51,-0.07319314927977619,0.0,-0.0706,0.7951,-0.8657,8759,0.0,4.560328044948849e-08,0.0001441882654935356
52,0.4133310221193933,0.0,0.5118,0.7951,-0.2833,8759,0.0,4.379589762696145e-08,0.00013809582731027896
53,0.23758887160721615,0.0,0.2682,0.7951,-0.5269,8759,0.0,5.507488999925135e-08,0.00013343146209139785
54,-0.0893694618189199,0.0,-0.0855,0.7951,-0.8806,8759,0.0,4.393256941080335e-08,0.0001306450218764828
55,-0.36389743614164943,0.0,-0.305,0.7951,-1.1001,8759,0.0,5.215889904803583e-08,0.00012998659383871918
56,0.04229931873282238,0.0,0.0432,0.7951,-0.7519,8759,0.0,5.755091923400496e-08,0.00012452230729609665
57,-0.02813765963762922,0.0,-0.0277,0.7951,-0.8228,8759,0.0,5.383732670076079e-08,0.0001217235991414863
58,0.3360183697186592,0.0,0.3994,0.7951,-0.39570000000000005,8759,0.0,5.745947945435119e-08,0.00011830933571218259
