episode,reward,loss,portfolio_return,market_return,excess_return,steps,q_value,epsilon
1,-3.2058266693856123,0.0001339930876751206,-0.9595,0.7951,-1.7546,8759,0.06799634412813131,0.995
2,-2.764051417357662,9.005573866428583e-05,-0.937,0.7951,-1.7321,8759,0.08358879794145177,0.990025
3,-2.2104979441891945,9.502450207981711e-05,-0.8904000000000001,0.7951,-1.6855000000000002,8759,0.06100923190505173,0.985074875
4,-2.2994441377338033,9.153372605514371e-05,-0.8996999999999999,0.7951,-1.6947999999999999,8759,0.038595771627337544,0.9801495006250001
5,-2.6210377943436822,8.98057445989929e-05,-0.9273,0.7951,-1.7224,8759,0.02414178951829587,0.9752487531218751
6,-1.8180531231411783,8.798293592534464e-05,-0.8377,0.7951,-1.6328,8759,0.019649870489534822,0.9703725093562657
7,-1.2981522991304666,8.778331628160882e-05,-0.727,0.7951,-1.5221,8759,0.02330728105070221,0.9655206468094844
8,-2.353936535159792,8.636371494501615e-05,-0.905,0.7951,-1.7001,8759,0.021797614416866926,0.960693043575437
9,-3.284513149402005,8.467460746849862e-05,-0.9625,0.7951,-1.7576,8759,0.010881057268752669,0.9558895783575597
10,-4.211465230593445,8.581754207434371e-05,-0.9852,0.7951,-1.7803,8759,0.007069967264797143,0.9511101304657719
11,-2.8185110722496995,8.487539281239323e-05,-0.9403,0.7951,-1.7354,8759,-0.0015210455923826813,0.946354579813443
12,-2.705101135181753,8.552884590179917e-05,-0.9331,0.7951,-1.7282000000000002,8759,-0.0032213466495653173,0.9416228069143757
13,-2.4517788897083213,8.51637651312046e-05,-0.9139,0.7951,-1.709,8759,-0.007008410662749489,0.9369146928798039
14,-3.478649733989233,8.71734319175512e-05,-0.9692000000000001,0.7951,-1.7643,8759,-0.008436810889369904,0.9322301194154049
15,-3.4441719022393325,8.749721127327976e-05,-0.9681000000000001,0.7951,-1.7632,8759,-0.003868564405334038,0.9275689688183278
16,-2.858482097696118,8.533616194088722e-05,-0.9426000000000001,0.7951,-1.7377000000000002,8759,-0.0067210153339830265,0.9229311239742362
17,-2.464028405881349,8.57127243943895e-05,-0.9148999999999999,0.7951,-1.71,8759,-0.008963579428714492,0.918316468354365
18,-1.7509578147558196,8.705481398376067e-05,-0.8264,0.7951,-1.6215000000000002,8759,-0.010353580130622911,0.9137248860125932
19,-4.137266393214942,8.74035244700363e-05,-0.9840000000000001,0.7951,-1.7791000000000001,8759,-0.0065893626670111855,0.9091562615825302
20,-1.2388838801233775,8.854510626964213e-05,-0.7103,0.7951,-1.5054,8759,-0.00015879568307554086,0.9046104802746175
21,-1.816868108922536,8.79495778330634e-05,-0.8375,0.7951,-1.6326,8759,-0.012242763022834655,0.9000874278732445
22,-4.123814064650862,8.855774679635006e-05,-0.9838,0.7951,-1.7789000000000001,8759,-0.01455399442074104,0.8955869907338783
23,-1.6933301756211798,8.823711994612987e-05,-0.8161,0.7951,-1.6112000000000002,8759,-0.0055401973898010805,0.8911090557802088
24,-2.5121560352162176,8.767823724502478e-05,-0.9189,0.7951,-1.714,8759,-0.006036517696753051,0.8866535105013078
25,-2.371481991755037,8.827307000340557e-05,-0.9067000000000001,0.7951,-1.7018,8759,-0.011117717505942292,0.8822202429488013
26,-2.5632373450905557,9.154503363258456e-05,-0.9229,0.7951,-1.718,8759,-0.00044041290668295815,0.8778091417340573
27,-1.4616785297089272,9.004206645326495e-05,-0.7681999999999999,0.7951,-1.5633,8759,0.0023766671129711713,0.8734200960253871
28,-1.7466088541967806,9.044293252044346e-05,-0.8256,0.7951,-1.6207,8759,0.0037464485457480694,0.8690529955452602
29,-2.3032899644961957,9.080468498650664e-05,-0.9001,0.7951,-1.6952,8759,0.0011053843501768559,0.8647077305675338
30,-2.9077350111677043,8.994051750308369e-05,-0.9454,0.7951,-1.7405,8759,0.00426530712120935,0.8603841919146962
31,-1.5081854534424426,8.877143769271188e-05,-0.7787000000000001,0.7951,-1.5738,8759,0.0013636129174922915,0.8560822709551227
32,-1.9067864322734436,8.971521581959275e-05,-0.8514,0.7951,-1.6465,8759,-0.0027849153687943334,0.851801859600347
33,-2.3448452707980816,9.089847487156186e-05,-0.9041,0.7951,-1.6992,8759,-0.0013898183946904016,0.8475428503023453
34,-1.493343818937905,9.146983105658762e-05,-0.7754000000000001,0.7951,-1.5705,8759,0.0017844481030692791,0.8433051360508336
35,-0.91943864656118,9.056817727851346e-05,-0.6013000000000001,0.7951,-1.3964,8759,0.009312211380313896,0.8390886103705794
36,-3.3519016297433697,9.069781136340721e-05,-0.965,0.7951,-1.7601,8759,0.005602103140524553,0.8348931673187264
37,-2.3585297249153094,8.932662833626177e-05,-0.9054000000000001,0.7951,-1.7005000000000001,8759,-0.0011192095676592897,0.8307187014821328
38,-2.356172058463418,9.113381203578402e-05,-0.9052,0.7951,-1.7003,8759,0.0006760591867546034,0.8265651079747222
39,-0.7376042491569872,9.019399427539068e-05,-0.5217,0.7951,-1.3168000000000002,8759,0.004079916947315526,0.8224322824348486
40,-1.138875882709185,8.988882160950321e-05,-0.6798000000000001,0.7951,-1.4749,8759,0.005261462466764265,0.8183201210226743
41,-1.3963780114585849,8.879855528050335e-05,-0.7525,0.7951,-1.5476,8759,0.004099742054661968,0.8142285204175609
42,-1.2786962292123036,8.838306381894066e-05,-0.7216,0.7951,-1.5167000000000002,8759,0.001148100165331904,0.810157377815473
43,-1.312020439394275,8.808482356194533e-05,-0.7306999999999999,0.7951,-1.5257999999999998,8759,0.0026717094119920186,0.8061065909263957
44,-1.9350518036459154,8.796662241108482e-05,-0.8556,0.7951,-1.6507,8759,0.009844632317641783,0.8020760579717637
45,-2.2569198734144975,9.166488051135629e-05,-0.8953,0.7951,-1.6904,8759,0.008883952641527271,0.798065677681905
46,-1.1664116873172157,9.071251174162668e-05,-0.6884999999999999,0.7951,-1.4836,8759,0.008998303472032856,0.7940753492934954
