episode,reward,loss,portfolio_return,market_return,excess_return,steps,policy_loss,value_loss,entropy
1,-2.014000631071009,0.0,-0.8665,0.7951,-1.6616,8759,0.0,1.2222832031118304e-07,0.000235090343790507
2,-2.120212480588749,0.0,-0.88,0.7951,-1.6751,8759,0.0,8.568772955575625e-08,0.00023092971260748192
3,-0.9397978998725558,0.0,-0.6093,0.7951,-1.4043999999999999,8759,0.0,9.192457490702114e-08,0.00022696673883944947
4,-2.7272928196818547,0.0,-0.9346,0.7951,-1.7297,8759,0.0,7.193039374910268e-08,0.00022806106556981257
5,-2.6755652225213855,0.0,-0.9311,0.7951,-1.7262,8759,0.0,7.839202959691127e-08,0.00022785102749866103
6,-2.1377633896370885,0.0,-0.8820999999999999,0.7951,-1.6772,8759,0.0,6.961249968283655e-08,0.0002279788870099944
7,-0.9034284082467212,0.0,-0.5948,0.7951,-1.3899,8759,0.0,7.20491037464435e-08,0.00022678113084794523
8,-2.5835504191065066,0.0,-0.9245,0.7951,-1.7196,8759,0.0,7.415615612175524e-08,0.00022440680256306003
9,-0.946288041684669,0.0,-0.6118,0.7951,-1.4069,8759,0.0,7.19880097510776e-08,0.00022376267492524827
10,-1.2164631154925754,0.0,-0.7037,0.7951,-1.4988000000000001,8759,0.0,8.946985083291e-08,0.00022320259028212088
11,-2.263929983595678,0.0,-0.8961,0.7951,-1.6912,8759,0.0,8.838423526822575e-08,0.00022225091764221963
12,-0.6657135833942556,0.0,-0.4861,0.7951,-1.2812000000000001,8759,0.0,8.201222835530784e-08,0.00022289984349707526
13,-1.7381101354339177,0.0,-0.8240999999999999,0.7951,-1.6192,8759,0.0,8.54434693940205e-08,0.00021841975344128888
14,-1.2729002250679566,0.0,-0.72,0.7951,-1.5151,8759,0.0,7.92701108282821e-08,0.00021546538881755215
15,-1.5387011751796016,0.0,-0.7853,0.7951,-1.5804,8759,0.0,9.115102414048559e-08,0.00021342341987112405
16,0.4942868770004421,0.0,0.6393,0.7951,-0.15580000000000005,8759,0.0,9.447294353753842e-08,0.00021077275852668506
17,-1.51702742513552,0.0,-0.7806000000000001,0.7951,-1.5757,8759,0.0,8.708211903213063e-08,0.0002053340756585385
18,-0.13452940020019105,0.0,-0.1259,0.7951,-0.921,8759,0.0,8.54491768391046e-08,0.00020020951662417236
19,-0.6002978497361312,0.0,-0.4514,0.7951,-1.2465000000000002,8759,0.0,8.493191949564936e-08,0.0002008222034840411
20,-1.6038200184951967,0.0,-0.7989,0.7951,-1.594,8759,0.0,8.060264059182186e-08,0.0001989967854522118
21,-0.14026986459572363,0.0,-0.1309,0.7951,-0.926,8759,0.0,1.12382898395754e-07,0.00020102327629356413
22,-0.7791056377720275,0.0,-0.5412,0.7951,-1.3363,8759,0.0,1.167941774364215e-07,0.00020161912502494327
23,0.3831763239559778,0.0,0.4669,0.7951,-0.32820000000000005,8759,0.0,9.897043414141798e-08,0.00020229500691589986
24,-0.8809310721775679,0.0,-0.5856,0.7951,-1.3807,8759,0.0,8.804729575288326e-08,0.0002013497327017422
25,1.2203873541771286,0.0,2.3885,0.7951,1.5934,8759,0.0,1.059269144827498e-07,0.00020072319901485858
26,1.4216858650215463,0.0,3.1441000000000003,0.7951,2.349,8759,0.0,7.702538424624694e-08,0.00019931383382931913
27,-1.3615275955193071,0.0,-0.7437,0.7951,-1.5388000000000002,8759,0.0,9.005158510945252e-08,0.00019342295121037667
28,-0.41127041223431593,0.0,-0.3372,0.7951,-1.1323,8759,0.0,1.0410278231706335e-07,0.00019150776810657237
29,-1.0845820789396163,0.0,-0.662,0.7951,-1.4571,8759,0.0,1.0237649128492788e-07,0.00019289187372757558
30,-0.21179831404932453,0.0,-0.1909,0.7951,-0.986,8759,0.0,1.0983495922259228e-07,0.00018926090047295536
31,-0.8047792088134893,0.0,-0.5528,0.7951,-1.3479,8759,0.0,1.1213399503710964e-07,0.00018731128163889706
32,0.22534602849145888,0.0,0.2528,0.7951,-0.5423,8759,0.0,1.0915519201553896e-07,0.00018187090830940595
33,0.13636539258292976,0.0,0.1461,0.7951,-0.649,8759,0.0,1.0788106140063993e-07,0.00017594292338447262
34,-0.5589860210687819,0.0,-0.4282,0.7951,-1.2233,8759,0.0,1.0684280517535686e-07,0.0001755386608019713
35,0.4428017864319096,0.0,0.5571,0.7951,-0.238,8759,0.0,1.1521630580042479e-07,0.00016963446472579975
36,0.2731230786924585,0.0,0.3141,0.7951,-0.48100000000000004,8759,0.0,1.3119956988300975e-07,0.0001677977585815927
37,-0.8274838396170707,0.0,-0.5629,0.7951,-1.358,8759,0.0,1.1244353730384051e-07,0.00017608666751031796
38,0.3353410789432023,0.0,0.39840000000000003,0.7951,-0.3967,8759,0.0,1.0783390913792605e-07,0.00018173873112544965
39,-0.253226544798404,0.0,-0.2237,0.7951,-1.0188000000000001,8759,0.0,1.1585004934060149e-07,0.00017484945924488052
40,-0.11214827588366104,0.0,-0.1061,0.7951,-0.9012,8759,0.0,1.0768151118573767e-07,0.0001799883728456869
41,-0.43684491657053165,0.0,-0.3539,0.7951,-1.149,8759,0.0,1.0800283035697307e-07,0.00018367509285430178
42,-1.0594921977737175,0.0,-0.6534,0.7951,-1.4485000000000001,8759,0.0,1.0395572235585068e-07,0.00017849423531779605
43,-0.3870658504619967,0.0,-0.321,0.7951,-1.1161,8759,0.0,1.07135547909268e-07,0.00017179914068639094
44,0.5865367206331586,0.0,0.7978000000000001,0.7951,0.0027000000000000357,8759,0.0,1.186799695355378e-07,0.000169140791401121
45,-0.835585861387193,0.0,-0.5664,0.7951,-1.3615,8759,0.0,1.280742269081573e-07,0.00017078274825731724
46,-0.11079148626732434,0.0,-0.10490000000000001,0.7951,-0.9,8759,0.0,1.1555192814869042e-07,0.00017617945497796464
47,0.13506727790946213,0.0,0.1446,0.7951,-0.6505000000000001,8759,0.0,1.201618290213596e-07,0.00016629593211944612
48,-0.41134224972892597,0.0,-0.3372,0.7951,-1.1323,8759,0.0,1.3312400350940948e-07,0.000159707241457158
49,-0.11472347074098636,0.0,-0.1084,0.7951,-0.9035,8759,0.0,1.1475026212581077e-07,0.0001537186715261659
50,-0.7234612838423012,0.0,-0.5149,0.7951,-1.31,8759,0.0,1.3531993828365816e-07,0.00014963527487598722
51,-0.47133190030727207,0.0,-0.37579999999999997,0.7951,-1.1709,8759,0.0,1.3373354963662864e-07,0.00016108576395616725
52,-0.06181175074798426,0.0,-0.0599,0.7951,-0.855,8759,0.0,1.1622099168838136e-07,0.00016380195629565092
53,0.2755141626708265,0.0,0.3172,0.7951,-0.47790000000000005,8759,0.0,1.213611614594956e-07,0.00016419627087102073
54,0.9978051600008386,0.0,1.7123,0.7951,0.9171999999999999,8759,0.0,1.1674365428999343e-07,0.00015901232189581837
55,-0.7181037227388436,0.0,-0.5123,0.7951,-1.3074,8759,0.0,1.286172804697662e-07,0.0001537715269917295
56,-0.35158702977611533,0.0,-0.2964,0.7951,-1.0915,8759,0.0,1.3371542587895316e-07,0.0001450068549957162
57,-0.5600387566634333,0.0,-0.4288,0.7951,-1.2239,8759,0.0,1.2377676623592478e-07,0.00013999397881611
58,-0.3005328767551938,0.0,-0.2596,0.7951,-1.0547,8759,0.0,1.3885431462075864e-07,0.00014202612669026292
59,-0.24695963730479514,0.0,-0.2188,0.7951,-1.0139,8759,0.0,1.2733293676377016e-07,0.00013829549919212113
60,0.9838968347105902,0.0,1.6749,0.7951,0.8798,8759,0.0,1.341951071650724e-07,0.00013903970864349684
61,-0.3665080663013369,0.0,-0.3068,0.7951,-1.1019,8759,0.0,1.2708597557975273e-07,0.0001436170510402755
62,-0.4328033020542622,0.0,-0.3513,0.7951,-1.1464,8759,0.0,1.2254830032344816e-07,0.00014923700254580662
63,0.3021813687588709,0.0,0.3528,0.7951,-0.4423,8759,0.0,1.1300844425907484e-07,0.00014673462021217275
64,0.7349625509421234,0.0,1.0854000000000001,0.7951,0.2903000000000001,8759,0.0,1.3457970364101528e-07,0.00013924516121469405
65,0.6651972359430857,0.0,0.9449,0.7951,0.14979999999999993,8759,0.0,1.4497182138670447e-07,0.00013799518433586991
66,-0.35621824066974184,0.0,-0.29969999999999997,0.7951,-1.0948,8759,0.0,1.3187214406135065e-07,0.00013725490087454636
67,1.0822098280699464,0.0,1.9512,0.7951,1.1561,8759,0.0,1.1916462485195019e-07,0.00013372985973708937
68,-0.026002837948777516,0.0,-0.025699999999999997,0.7951,-0.8208,8759,0.0,1.267161852021551e-07,0.0001347619769137859
69,0.3929609859805113,0.0,0.4814,0.7951,-0.31370000000000003,8759,1.2341354274563677e-08,1.2809336446968584e-07,0.00013406543238263292
70,0.6733987630994116,0.0,0.9609000000000001,0.7951,0.16580000000000006,8759,0.0,1.1631216694381702e-07,0.00013740829135407666
71,-0.04407824113742652,0.0,-0.0431,0.7951,-0.8382000000000001,8759,0.0,1.440207822155872e-07,0.00013828427190217798
72,1.022824903165273,0.0,1.781,0.7951,0.9858999999999999,8759,0.0,1.2116160386545512e-07,0.00014643167680351965
73,0.006245236127159005,0.0,0.0063,0.7951,-0.7888000000000001,8759,0.0,1.1788196779745634e-07,0.00014255900430850866
74,0.6956317326369905,0.0,1.005,0.7951,0.20989999999999986,8759,0.0,1.170851583935038e-07,0.0001426866456885872
75,0.3543000984206567,0.0,0.4252,0.7951,-0.3699,8759,0.0,1.309783858963107e-07,0.00014420149895523108
76,0.11236580333084219,0.0,0.1189,0.7951,-0.6762,8759,0.0,1.3193137708899032e-07,0.00014726275834961707
77,-0.2467425097797321,0.0,-0.2187,0.7951,-1.0138,8759,0.0,1.1218405811822017e-07,0.00014437313129735701
78,0.2802425456004304,0.0,0.3235,0.7951,-0.4716,8759,0.0,1.29580019898152e-07,0.00014117045656358818
79,0.20404955521770146,0.0,0.22640000000000002,0.7951,-0.5687,8759,0.0,1.328907061549693e-07,0.00013255076548248523
80,-0.12535495761742285,0.0,-0.11779999999999999,0.7951,-0.9129,8759,0.0,1.3476565467413954e-07,0.0001240965206250664
81,-0.2557538948823474,0.0,-0.2257,0.7951,-1.0208,8759,0.0,1.47630622931631e-07,0.00012465338993700433
82,1.071077021723517,0.0,1.9184999999999999,0.7951,1.1233999999999997,8759,7.06245378846009e-09,1.4476061578963798e-07,0.00012052573057341882
83,0.9549041518800444,0.0,1.5984,0.7951,0.8033,8759,0.0,1.4582220569277729e-07,0.00012559250230953926
84,0.14780647118446222,0.0,0.1593,0.7951,-0.6358,8759,0.0,1.2329936838380567e-07,0.0001235455794267268
85,-0.515893398587751,0.0,-0.40299999999999997,0.7951,-1.1981,8759,0.0,1.4780415404445048e-07,0.00012334455539436242
86,-0.632216054890945,0.0,-0.4686,0.7951,-1.2637,8759,0.0,1.437948814073404e-07,0.00012784663771495962
87,0.3935361582674478,0.0,0.48219999999999996,0.7951,-0.31290000000000007,8759,0.0,1.3207336252538493e-07,0.00013074521922535335
88,0.38067287697585195,0.0,0.4633,0.7951,-0.33180000000000004,8759,0.0,1.2602911090807461e-07,0.00012623711170871735
89,0.1403666702925921,0.0,0.1507,0.7951,-0.6444000000000001,8759,0.0,1.3391567229159596e-07,0.0001246442448158122
90,0.16223516222786805,0.0,0.1761,0.7951,-0.619,8759,0.0,1.385423594122107e-07,0.00011411502142996478
91,0.2183206666086525,0.0,0.244,0.7951,-0.5511,8759,0.0,1.34948578502213e-07,0.00011669105603138056
92,0.5835405631057179,0.0,0.7924,0.7951,-0.0027000000000000357,8759,0.0,1.55720923139913e-07,0.00011478809300903086
93,-0.2895493440310392,0.0,-0.2514,0.7951,-1.0465,8759,1.2138290189227877e-08,1.4412834997494408e-07,0.00012049677356862808
94,-0.059394290659242566,0.0,-0.057699999999999994,0.7951,-0.8528,8759,0.0,1.373821412573382e-07,0.00012475328766894923
95,-0.0700782533937539,0.0,-0.0677,0.7951,-0.8628,8759,0.0,1.4426783239189028e-07,0.00012529649457077228
96,0.23530056146749131,0.0,0.26530000000000004,0.7951,-0.5298,8759,0.0,1.2772626340294386e-07,0.0001266027538830895
97,0.04598481103595643,0.0,0.0471,0.7951,-0.748,8759,0.0,1.4449641141500015e-07,0.00012493556802258807
98,0.5159207898143401,0.0,0.6751999999999999,0.7951,-0.11990000000000012,8759,0.0,1.351345913212193e-07,0.0001248440442534012
99,0.8738272747298288,0.0,1.3961000000000001,0.7951,0.6010000000000001,8759,0.0,1.5138989878794958e-07,0.00012264499088901078
100,0.8556221020813044,0.0,1.3528,0.7951,0.5577,8759,0.0,1.3214271686874274e-07,0.00012712699126347213
101,-0.09993548773783471,0.0,-0.0951,0.7951,-0.8902,8759,0.0,1.3739887107943312e-07,0.00013032643523071328
102,-0.6757346920832527,0.0,-0.49119999999999997,0.7951,-1.2863,8759,0.0,1.229703720650963e-07,0.00013399858274031816
103,1.0274013179526842,0.0,1.7938,0.7951,0.9987,8759,2.5647088013719836e-08,1.3280717989471616e-07,0.00013031346194697813
104,-0.5464517617805241,0.0,-0.42100000000000004,0.7951,-1.2161,8759,0.0,1.3488254330371448e-07,0.00012911692508971715
105,0.896069423700653,0.0,1.45,0.7951,0.6548999999999999,8759,0.0,1.3590557179506198e-07,0.00013239441283366293
106,0.20936437190316748,0.0,0.2329,0.7951,-0.5622,8759,0.0,1.1737445750128402e-07,0.00013326489318590706
107,0.690693847778528,0.0,0.9951000000000001,0.7951,0.20000000000000007,8759,0.0,1.22562197041538e-07,0.0001252971776993496
108,0.8532129574203065,0.0,1.3472,0.7951,0.5520999999999999,8759,0.0,1.398273755535457e-07,0.00012672749098570742
109,-0.1496040543708433,0.0,-0.139,0.7951,-0.9341,8759,0.0,1.3624975915817085e-07,0.00012838225718570794
110,-0.053215402302268934,0.0,-0.0518,0.7951,-0.8469,8759,0.0,1.3462492594075748e-07,0.0001235059494257889
111,0.3768621939546655,0.0,0.45770000000000005,0.7951,-0.3374,8759,0.0,1.403491844185765e-07,0.00011578275756089169
112,-0.6206942128158227,0.0,-0.46240000000000003,0.7951,-1.2575,8759,2.6432905187806354e-08,1.3511984258854924e-07,0.00012215878048202344
113,1.3647770608525287,0.0,2.9149000000000003,0.7951,2.1198,8759,0.0,1.333792382110887e-07,0.0001272953983029069
114,0.571257958463178,0.0,0.7705,0.7951,-0.024600000000000066,8759,0.0,1.4196966920745842e-07,0.00012145540132470632
115,0.8425058179920684,0.0,1.3222,0.7951,0.5271,8759,0.0,1.4145354721445012e-07,0.00012007424017761546
